ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
198090k,2015,Kate,,Brown,Democrat,"Statewide Executive",Governor,"Oregon - OR",,White
14982c,2015,Sue,,Ellspermann,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
209688k,2015,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
282881k,2015,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
227511k,2015,Nikki,R.,Haley,Republican,"Statewide Executive",Governor,"South Carolina - SC",,"Asian American/Pacific Islander"
227982k,2015,Maggie,,Hassan,Democrat,"Statewide Executive",Governor,"New Hampshire - NH",,White
342834k,2015,Kathy,C.,Hochul,Democrat,"Statewide Executive","Lt. Governor","New York - NY",,White
240306k,2015,Kay,E.,Ivey,Republican,"Statewide Executive","Lt. Governor","Alabama - AL",,White
327236k,2015,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
9952c,2015,Crit,Eugenia,Luallen,Democrat,"Statewide Executive","Lt. Governor","Kentucky - KY",,White
289086k,2015,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
17580c,2015,Angela,,McLean,Democrat,"Statewide Executive","Lt. Governor","Montana - MT",,White
209225k,2015,Karyn,E.,Polito,Republican,"Statewide Executive","Lt. Governor","Massachusetts - MA",,White
327244k,2015,Gina,M.,Raimondo,Democrat,"Statewide Executive",Governor,"Rhode Island - RI",,White
271917k,2015,Kimberly,,Reynolds,Republican,"Statewide Executive","Lt. Governor","Iowa - IA",,White
477413k,2015,Evelyn,,Sanguinetti,Republican,"Statewide Executive","Lt. Governor","Illinois - IL",,Latina
332335k,2015,Tina,,Smith,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2015,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2015,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
