ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
198090k,2016,Kate,,Brown,Democrat,"Statewide Executive",Governor,"Oregon - OR",,White
209688k,2016,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
282881k,2016,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
227511k,2016,Nikki,R.,Haley,Republican,"Statewide Executive",Governor,"South Carolina - SC",,"Asian American/Pacific Islander"
475968k,2016,Jenean,,Hampton,Republican,"Statewide Executive","Lt. Governor","Kentucky - KY",,Black
227982k,2016,Maggie,,Hassan,Democrat,"Statewide Executive",Governor,"New Hampshire - NH",,White
342834k,2016,Kathy,C.,Hochul,Democrat,"Statewide Executive","Lt. Governor","New York - NY",,White
240306k,2016,Kay,E.,Ivey,Republican,"Statewide Executive","Lt. Governor","Alabama - AL",,White
327236k,2016,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
582823k,2016,Donna,,Lynne,Democrat,"Statewide Executive","Lt. Governor","Colorado - CO",,White
289086k,2016,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
209225k,2016,Karyn,E.,Polito,Republican,"Statewide Executive","Lt. Governor","Massachusetts - MA",,White
327244k,2016,Gina,M.,Raimondo,Democrat,"Statewide Executive",Governor,"Rhode Island - RI",,White
271917k,2016,Kimberly,,Reynolds,Republican,"Statewide Executive","Lt. Governor","Iowa - IA",,White
477413k,2016,Evelyn,,Sanguinetti,Republican,"Statewide Executive","Lt. Governor","Illinois - IL",,Latina
332335k,2016,Tina,,Smith,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2016,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2016,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
