ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
22c,2014,Jan,,Brewer,Republican,"Statewide Executive",Governor,"Arizona - AZ",,White
14982c,2014,Sue,,Ellspermann,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
209688k,2014,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
282881k,2014,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
227511k,2014,Nikki,R.,Haley,Republican,"Statewide Executive",Governor,"South Carolina - SC",,"Asian American/Pacific Islander"
227982k,2014,Maggie,,Hassan,Democrat,"Statewide Executive",Governor,"New Hampshire - NH",,White
240306k,2014,Kay,E.,Ivey,Republican,"Statewide Executive","Lt. Governor","Alabama - AL",,White
327236k,2014,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
9952c,2014,Crit,Eugenia,Luallen,Democrat,"Statewide Executive","Lt. Governor","Kentucky - KY",,White
289086k,2014,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
17580c,2014,Angela,,McLean,Democrat,"Statewide Executive","Lt. Governor","Montana - MT",,White
271917k,2014,Kimberly,,Reynolds,Republican,"Statewide Executive","Lt. Governor","Iowa - IA",,White
5835c,2014,Elizabeth,H.,Roberts,Democrat,"Statewide Executive","Lt. Governor","Rhode Island - RI",,White
15796c,2014,Sheila,,Simon,Democrat,"Statewide Executive","Lt. Governor","Illinois - IL",,White
10024c,2014,Yvonne,Prettner,Solon,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2014,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2014,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
