ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
198090k,2017,Kate,,Brown,Democrat,"Statewide Executive",Governor,"Oregon - OR",,White
240699k,2017,Suzanne,,Crouch,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
209688k,2017,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
282881k,2017,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
212298k,2017,Bethany,A.,Hall-Long,Democrat,"Statewide Executive","Lt. Governor","Delaware - DE",,White
475968k,2017,Jenean,,Hampton,Republican,"Statewide Executive","Lt. Governor","Kentucky - KY",,Black
342834k,2017,Kathy,C.,Hochul,Democrat,"Statewide Executive","Lt. Governor","New York - NY",,White
240306k,2017,Kay,E.,Ivey,Republican,"Statewide Executive",Governor,"Alabama - AL",,White
327236k,2017,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
582823k,2017,Donna,,Lynne,Democrat,"Statewide Executive","Lt. Governor","Colorado - CO",,White
289086k,2017,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
209225k,2017,Karyn,E.,Polito,Republican,"Statewide Executive","Lt. Governor","Massachusetts - MA",,White
327244k,2017,Gina,M.,Raimondo,Democrat,"Statewide Executive",Governor,"Rhode Island - RI",,White
271917k,2017,Kimberly,,Reynolds,Republican,"Statewide Executive",Governor,"Iowa - IA",,White
477413k,2017,Evelyn,,Sanguinetti,Republican,"Statewide Executive","Lt. Governor","Illinois - IL",,Latina
332335k,2017,Tina,,Smith,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2017,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2017,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
