0,﻿State,"State Rank",Senate,"Total Women/Total Senate",House,"Total Women/Total House","Total Women/Total Legis.","%Women Overall"
1,AL,45,"4D | 0R",4/35,"11D | 8R",19/105,23/140,16.4
2,AK,7,"1D | 5R",6/20,"6D | 11R",17/40,23/60,38.3
3,AZ,6,"7D | 6R",13/30,"14D | 8R",22/60,35/90,38.9
4,AR,36,"3D | 4R",7/35,"9D | 17R",26/100,33/135,24.4
5,AS,-,"0D | 0R | 1Ind",1/18,"0D | 0R | 1Ind",1/21,2/39,5.1
6,CA*,18,"11D | 3R",14/40,"21D | 3R",24/80,38/120,31.7
7,CO,2,"12D | 1R",13/35,"26D | 7R",33/65,46/100,46.0
8,CT,17,"8D | 1R",9/36,"29D | 22R",51/151,60/187,32.1
9,DC,-,"3D | 0R | 1Ind",4/13,"0D | 0R",unicameral,4/13,30.8
10,DE,37,"4D | 1R",5/21,"9D | 1R",10/41,15/62,24.2
11,FL,24,"6D | 6R",12/40,"23D | 13R",36/120,48/160,30.0
12,GA,23,"13D | 2R",15/56,"42D | 15R",57/180,72/236,30.5
13,GU,-,"7D | 3R",10/15,"0D | 0R",unicameral,10/15,66.7
14,HI,20,"7D | 0R",7/25,"14D | 3R",17/51,24/76,31.6
15,ID,16,"4D | 5R",9/35,"8D | 17R",25/70,34/105,32.4
16,IL,11,"17D | 2R",19/59,"37D | 8R",45/118,64/177,36.2
17,IN*,33,"2D | 8R",10/50,"17D | 11R",28/100,38/150,25.3
18,IA,25,"6D | 5R",11/50,"23D | 10R",33/100,44/150,29.3
19,KS,28,"6D | 8R",14/40,"17D | 15R",32/125,46/165,27.9
20,KY*,39,"2D | 2R",4/38,"18D | 10R",28/100,32/138,23.2
21,LA,47,"3D | 2R",5/39,"8D | 9R",17/105,22/144,15.3
22,ME,9,"8D | 4R",12/35,"47D | 11R",58/151,70/186,37.6
23,MD,7,"12D | 2R",14/47,"51D | 7R",58/141,72/188,38.3
24,MA,27,"11D | 0R",11/40,"38D | 7R | 1Ind",46/160,57/200,28.5
25,MI,12,"8D | 3R",11/38,"25D | 17R",42/110,53/148,35.8
26,MN,21,"10D | 6R",16/67,"34D | 13R",47/134,63/201,31.3
27,MS,49,"4D | 5R",9/52,"7D | 7R| 1Ind",15/122,24/174,13.8
28,MO,38,"6D | 3R",9/34,"18D | 20R",38/163,47/197,23.9
29,MP,-,"1D | 0R",1/9,"0D | 1R | 2Ind",3/20,4/29,13.8
30,MT,22,"11D | 2R",13/50,"22D | 11R",33/100,46/150,30.7
31,NE,26,"0D | 0R | 14Ind",14/49,"0D | 0R","- - unicameral - -",14/49,28.6
32,NV,1,"9D | 1R",10/21,"18D | 5R",23/42,33/63,52.4
33,NH,14,"7D | 3R",10/24,"109D | 26R",135/400,145/424,34.2
34,NJ*,18,"9D | 1R",10/40,"21D | 7R",28/80,38/120,31.7
35,NM,13,"7D | 2R",9/42,"24D | 7R",31/70,40/112,35.7
36,NY,15,"14D | 5R",19/63,"46D | 4R",50/150,69/213,32.4
37,NC*,33,"6D | 4R",10/50,"23D | 10R",33/120,43/170,25.3
38,ND,42,"4D | 7R",11/47,"8D | 12R",20/94,31/141,22.0
39,OH*,29,"4D | 4R",8/33,"19D | 9R",28/99,36/132,27.3
40,OK,43,"5D | 4R",9/48,"11D | 12R",23/101,32/149,21.5
41,OR,3,"7D | 2R",9/30,"22D | 7R",29/60,38/90,42.2
42,PA,32,"7D | 6R",13/50,"30D | 23R",53/203,66/253,26.1
43,PR,-,"0D | 0R | 7Ind",7/30,"0D | 0R | 7Ind",7/51,14/81,17.3
44,RI,10,"14D | 2R",16/38,"25D | 1R",26/75,42/113,37.2
45,SC,44,"2D | 2R",4/46,"12D | 12R",24/124,28/170,16.5
46,SD,41,"2D | 3R",5/35,"4D | 15R",19/70,24/105,22.9
47,TN,48,"4D | 4R",8/33,"4D | 8R",12/99,20/132,15.2
48,TX*,39,"3D | 6R",9/31,"27D | 6R",33/150,42/181,23.2
49,UT,35,"4D | 2R",6/29,"12D | 8R",20/75,26/104,25.0
50,VI,-,"3D | 0R | 1Ind",4/15,"0D | 0R",unicameral,4/15,26.7
51,VT,5,"10D | 0R",10/30,"41D | 14R | 7Ind",62/150,72/180,40.0
52,VA,31,"7D | 3R",10/40,"22D | 5R",27/100,37/140,26.4
53,WA,4,"12D | 7R",19/49,"30D | 10R",40/98,59/147,40.1
54,WV,50,"0D | 3R",3/34,"8D | 7R",15/100,18/134,13.4
55,WI*,29,"6D | 2R",8/33,"18D | 10R",28/99,36/132,27.3
56,WY,46,"1D | 5R",6/30,"4D | 4R",8/60,14/90,15.6
